iter	RMSE
0	1.541654739
1	1.521256595
2	1.502174859
3	1.481770747
4	1.462613987
5	1.443325578
6	1.424372307
7	1.407847179
8	1.388702193
9	1.372642778
10	1.358057035
11	1.343915533
12	1.330259994
13	1.318203007
14	1.30450371
15	1.28913324
16	1.275342107
17	1.262197326
18	1.248380558
19	1.235398574
20	1.22351299
21	1.213360039
22	1.202184958
23	1.189689464
24	1.178961409
25	1.167154558
26	1.157452708
27	1.146955505
28	1.138618847
29	1.128135397
30	1.117621953
31	1.10904598
32	1.100150076
33	1.091268223
34	1.082618555
35	1.074636997
36	1.066415103
37	1.057344322
38	1.049347463
39	1.042622936
40	1.035099547
41	1.028206333
42	1.021263702
43	1.015387285
44	1.008167374
45	1.003169268
46	0.9972225092
47	0.9916724632
48	0.9868570312
49	0.9803598137
50	0.9739148959
51	0.9693387105
52	0.964784231
53	0.9592515886
54	0.9536962964
55	0.9493275151
56	0.945531157
57	0.9409410641
58	0.9361728083
59	0.9309917777
60	0.9267107961
61	0.9227110313
62	0.9187105378
63	0.914899948
64	0.9109636157
65	0.9067988969
66	0.9039731289
67	0.9004563592
68	0.8961533061
69	0.8937521318
70	0.8900927382
71	0.88694016
72	0.8826117815
73	0.8792971764
74	0.8763272189
75	0.872746851
76	0.8704740229
77	0.8667988253
78	0.8650008266
79	0.8621658717
80	0.8595627585
81	0.856463189
82	0.8545692649
83	0.8511855555
84	0.8492790095
85	0.8466058666
86	0.8447316332
87	0.8424411666
88	0.8395220745
89	0.8366656564
90	0.8345356751
91	0.8318645224
92	0.8290970765
93	0.827394182
94	0.8247605455
95	0.8224539689
96	0.8194048864
97	0.8166853419
98	0.8143953047
99	0.8129560336
100	0.8107124294
101	0.8078986756
102	0.8056372833
103	0.80294613
104	0.8006348796
105	0.7984303547
106	0.7960931632
107	0.7940264796
108	0.7921475964
109	0.7907878408
110	0.7882514003
111	0.7861594189
112	0.7847346525
113	0.7821826353
114	0.7808378659
115	0.7783774133
116	0.7768995444
117	0.7751495661
118	0.7733697664
119	0.772127847
120	0.7710225665
121	0.7692892166
122	0.7675258021
123	0.7659298696
124	0.7651200939
125	0.7630559103
126	0.7613950358
127	0.7588318169
128	0.7572647997
129	0.7559511969
130	0.7548043207
131	0.7535209514
132	0.7509653301
133	0.7495462653
134	0.7479632726
135	0.7464836494
136	0.7456186599
137	0.7441328364
138	0.7419501877
139	0.740585939
140	0.7397037428
141	0.7386235053
142	0.7374904145
143	0.7352284649
144	0.7340929574
145	0.7324530127
146	0.7304177516
147	0.7293211286
148	0.7281923981
149	0.7263210609
150	0.7245709115
151	0.7233399154
152	0.7223027489
153	0.7207662408
154	0.7198280798
155	0.7190215458
156	0.717850165
157	0.7168185208
158	0.7150321299
159	0.7136958858
160	0.7124794909
161	0.710728264
162	0.7087919986
163	0.7075735904
164	0.7068952853
165	0.7056626685
166	0.704473593
167	0.7033004033
168	0.7019294144
169	0.7008052198
170	0.6995661457
171	0.6985057571
172	0.6970501232
173	0.6955226532
174	0.6944120023
175	0.6934644451
176	0.6922586685
177	0.6904578202
178	0.6894076271
179	0.6886933284
180	0.6880089128
181	0.6867222278
182	0.6852671193
183	0.684890315
184	0.6841570539
185	0.681847227
186	0.6806433395
187	0.6794427924
188	0.6779147478
189	0.6765561033
190	0.6750904047
191	0.6743159108
192	0.6727182943
193	0.6717640257
194	0.6709106262
195	0.6697751895
196	0.6689543676
197	0.6676162124
198	0.6673289327
199	0.6666688202
200	0.6649039498
201	0.6644862987
202	0.6638972156
203	0.6629027126
204	0.6612926169
205	0.6609197965
206	0.659900175
207	0.6591617311
208	0.657651473
209	0.6568936204
210	0.6552273758
211	0.6538851896
212	0.6525687463
213	0.6514923332
214	0.650570837
215	0.6487389777
216	0.6479978158
217	0.6468861981
218	0.6450648955
219	0.6436179681
220	0.6431265835
221	0.6415590646
222	0.6412937659
223	0.6406881357
224	0.6398786446
225	0.639590766
226	0.6393327932
227	0.6379977301
228	0.637704067
229	0.6360814576
230	0.6353583438
231	0.6344367464
232	0.633215763
233	0.632370552
234	0.6314352748
235	0.6304360233
236	0.6289854401
237	0.6286200098
238	0.627479796
239	0.6266280154
240	0.6261467809
241	0.625067996
242	0.624750495
243	0.6242574423
244	0.6232634347
245	0.6217269345
246	0.6207372849
247	0.6198884874
248	0.6192426122
249	0.6186099125
250	0.6177877074
251	0.6173038006
252	0.6158578704
253	0.6149068276
254	0.6133786356
255	0.6130813302
256	0.6127096802
257	0.6116527454
258	0.6105938499
259	0.6096213805
260	0.6084419777
261	0.6079814768
262	0.6073056157
263	0.6067545055
264	0.6064405767
265	0.6059890441
266	0.6047159627
267	0.6036457108
268	0.6029300284
269	0.6023782406
270	0.6018577954
271	0.6007867015
272	0.6002383523
273	0.5985083606
274	0.5972963998
275	0.5965197236
276	0.5962776762
277	0.5950980477
278	0.5942714763
279	0.5929302162
280	0.5917231359
281	0.5914832021
282	0.5912229585
283	0.5900773088
284	0.5891336061
285	0.5884540453
286	0.5881474661
287	0.5874988655
288	0.5870367846
289	0.5865821065
290	0.5856101294
291	0.5843566704
292	0.5834651346
293	0.5827847746
294	0.5825141711
295	0.5822541481
296	0.5801761837
297	0.578750873
298	0.5769667742
299	0.5767304107
300	0.5761838818
301	0.5749415608
302	0.5740338316
303	0.5737322493
304	0.5733136289
305	0.5730535701
306	0.5727927983
307	0.5719076903
308	0.5709492681
309	0.569847131
310	0.5686457175
311	0.5684714938
312	0.5676801656
313	0.5673902003
314	0.5662407404
315	0.5652094473
316	0.5649168891
317	0.5643448813
318	0.5632082979
319	0.5624941304
320	0.5613379533
321	0.5608026148
322	0.5604951518
323	0.5599650983
324	0.5592385581
325	0.5584401642
326	0.5573024936
327	0.5563457399
328	0.5557507161
329	0.555222504
330	0.5547360753
331	0.5541743921
332	0.5539579509
333	0.5529002979
334	0.5525776433
335	0.5522264287
336	0.5515309108
337	0.5509991988
338	0.5496542894
339	0.5486555363
340	0.5473476716
341	0.5470957011
342	0.5460026268
343	0.5448944521
344	0.543652932
345	0.5423213013
346	0.5413851319
347	0.5404750005
348	0.5403009125
349	0.5396407269
350	0.5387029228
351	0.5384925542
352	0.5382682335
353	0.5379372293
354	0.5368878063
355	0.5357095806
356	0.5352146788
357	0.5346071008
358	0.5333692789
359	0.5326229987
360	0.5316049833
361	0.5309929179
362	0.5303274229
363	0.5297247259
364	0.5295724143
365	0.5294844646
366	0.5284638115
367	0.5272509235
368	0.5267538266
369	0.5256961662
370	0.5255533994
371	0.5252553628
372	0.5244726233
373	0.5235982301
374	0.5234793023
375	0.5225656681
376	0.5214380891
377	0.5201084783
378	0.5191944577
379	0.5190333839
380	0.5181723113
381	0.5169992578
382	0.5167118193
383	0.5165859124
384	0.5156487332
385	0.5146872606
386	0.5137941583
387	0.5133445846
388	0.5131196033
389	0.5121645177
390	0.5119658428
391	0.5117701007
392	0.5115454581
393	0.5104755637
394	0.5098580548
395	0.5087995688
396	0.508189696
397	0.5080093839
398	0.5072978962
399	0.5064959407
400	0.5055091075
401	0.5051023815
402	0.5040814894
403	0.5026277273
404	0.5018779408
405	0.5008388429
406	0.5005487479
407	0.4993571059
408	0.4986921443
409	0.49836352
410	0.497911296
411	0.4970695108
412	0.4967642515
413	0.4963393776
414	0.4953529969
415	0.4945372698
416	0.493765633
417	0.4934850937
418	0.4928394554
419	0.4919950529
420	0.4911054031
421	0.4906281557
422	0.4902149392
423	0.4899244525
424	0.4897566127
425	0.4888984854
426	0.4886981348
427	0.4878498577
428	0.4874425234
429	0.4869142476
430	0.4864133263
431	0.4855886141
432	0.4844892441
433	0.4835722426
434	0.483105674
435	0.4823097811
436	0.482168187
437	0.4816637296
438	0.4815858681
439	0.4811429078
440	0.4806017432
441	0.4803271842
442	0.4799025654
443	0.4791871132
444	0.478383387
445	0.4776211964
446	0.4768112381
447	0.4760180811
448	0.4753292685
449	0.4751300423
450	0.4749922186
451	0.4741632593
452	0.4735697198
453	0.4726649968
454	0.4718772676
455	0.4712390103
