formula,mp_id,crystal_system,material_class,density,band_gap_calibrated,theoretical_efficiency_pct,ed_est_ev,radiation_resistance_score,penetration_depth_um_Ni63,carriers_per_electron_Ni63,t_max_ev_Ni63,is_immune_Ni63,penetration_depth_um_H3,carriers_per_electron_H3,t_max_ev_H3,is_immune_H3,penetration_depth_um_C14,carriers_per_electron_C14,t_max_ev_C14,is_immune_C14,penetration_depth_um_Pm147,carriers_per_electron_Pm147,t_max_ev_Pm147,is_immune_Pm147
Ba2ZnMoO6,mp-1206097,Cubic,Сложные оксиды,6.3141186972323196,2.552203191746605,18.976634454546335,28.95657396314389,72.05637277445848,0.9390926338930804,2275.649432233987,2.940116919661325,1,0.13320736789065024,745.4713657318234,0.7811729759809763,1,5.852027356499634,6473.830281355309,7.44379631894467,1,8.678260973691732,8108.635907960184,11.264622884776996,1
Ba4Nb2WO12,mp-1228131,Trigonal,Сложные оксиды,6.476315085976606,2.549624151104327,18.97649456139316,32.77560398777726,81.5597570989331,0.9155734826640681,2277.800668170674,2.674966518001827,1,0.12987124947467343,746.1760809524621,0.7107239652760686,1,5.705465972216108,6479.950176692434,6.772487783341593,1,8.46091784386762,8116.301231412746,10.248738359074036,1
YWN3,mp-989615,Monoclinic,"Ковалентные (IV, III-V, карбиды, бориды, нитриды)",6.888864985328195,2.5904030554339257,18.976164330941618,33.65991683128107,83.76030665226963,0.8607430063916333,2244.255319137747,2.4845284915335952,1,0.12209371703448886,735.1870873037446,0.6601256238015163,1,5.363785678349886,6384.519442374625,6.290336250206441,1,7.954223226925094,7996.771826812662,9.519103242613117,1
TePb2O5,mp-1105700,Monoclinic,Оксидные полупроводники (простые и тройные),8.743239503416113,2.591812195775909,18.9760561676022,22.0282797940633,54.81580598731723,0.6781859693744732,2243.113791054736,2.0117141255336275,1,0.09619856940654933,734.8131384489652,0.5345014341970772,1,4.226167581701531,6381.271991793645,5.093263503323933,1,6.267193052648173,7992.704312953656,7.707584968670431,1
PbO,mp-19921,Tetragonal,Оксидные полупроводники (простые и тройные),8.810225439512248,2.59286172249301,18.97597142031003,21.408315774549916,53.27306966244443,0.6730295835001603,2242.2643360165343,1.4015252392610278,1,0.09546715211569243,734.5348686950716,0.3723775863281321,1,4.194035169937151,6378.855438667727,3.548385558122986,1,6.219542309065149,7989.677519139375,5.369736549657665,1
Gd2MoO6,mp-582797,Monoclinic,Оксидные полупроводники (простые и тройные),7.0688982063049846,2.604454915022897,18.974797671573352,31.271938759263435,77.81799322964076,0.8388212964799365,2232.923784063021,5.587295761955829,1,0.11898419069852575,731.4750327103,1.4845139078876155,1,5.2271788714445035,6352.283178799973,14.14593118646888,1,7.751642232529893,7956.39509263835,21.40689687653481,1
BiTeO4,mp-863374,Monoclinic,Оксидные полупроводники (простые и тройные),7.983655321124648,2.530265855797928,18.974748494134957,22.124122728491827,55.054304306205715,0.7427102147568861,2294.078625594693,2.342769151505498,1,0.10535113283034067,751.5085152810202,0.6224609429235858,1,4.628255336953124,6526.258159019386,5.931429552850089,1,6.863468883540119,8174.303148670746,8.975973309537077,1
LaTi3(BiO4)3,mp-1211635,Monoclinic,Сложные оксиды,7.319515267108986,2.528285270832661,18.974500458596687,29.17625677878534,72.60303782109526,0.8101004153570756,2295.7571842106677,2.534146871934356,1,0.1149102230836204,752.0583879310808,0.6733089559410705,1,5.048202510681256,6531.033368875175,6.415960205808085,1,7.486229329922733,8180.28421960123,9.709208724347619,1
As2Pb8O13,mp-31107,Monoclinic,Оксидные полупроводники (простые и тройные),8.05358142863248,2.6107392422717854,18.97397950137515,22.985168719132695,57.196955952651905,0.7362615515398466,2227.8929985260925,1.7849377461173088,1,0.10443641001966969,729.8270167585475,0.4742481912031753,1,4.588070000387845,6337.971461324229,4.519110425589446,1,6.803876059244484,7938.469305092974,6.838724830416409,1
BaSrTa2O7,mp-559151,Orthorhombic,Сложные оксиды,7.095504635687474,2.6219585953159297,18.972201442378683,33.162412399689885,82.52230229355966,0.835675919126919,2218.9677172822426,2.4619330455166915,1,0.11853802870864688,726.9032177303898,0.6541221374467371,1,5.2075782126255055,6312.580575027068,6.233129036180097,1,7.7225754455644084,7906.666578821783,9.432532134984147,1
